id,text,word_count,dialect,source
SASAK_SENT_000048,"Hal nike sesuai keterangan saq ie terimaq leman ahli-ahli bintang, mengenai piran waktune bintang nike penggitan.",16,general,alkitab_sasak_Mat_2_16
SASAK_SENT_000049,"Siq care nike telaksane napi saq sampun tesampeang siq Nabi Yeremia,",11,general,alkitab_sasak_Mat_2_17
SASAK_SENT_000050,"Leq Rama kedengahan suare tangisan, dait suare dengan ngerung eroq aseq.",11,general,alkitab_sasak_Mat_2_18
SASAK_SENT_000051,"Rahel tangis bije-bijene; ie ndeq mele tehibur sengaq bije-bijene sampun ndeq araq.""",12,general,alkitab_sasak_Mat_2_18
SASAK_SENT_000052,"Sesampun Herodes ninggal, sewaktu Yusup masih araq leq Mesir, sopoq malaekat Tuhan rauh malik ojok Yusup leq dalem impi.",19,general,alkitab_sasak_Mat_2_19
SASAK_SENT_000053,"Malaekat nike bemanik, ""Dengan-dengan saq beniat nyemateq Kanak nike sampun ninggal.",11,general,alkitab_sasak_Mat_2_20
SASAK_SENT_000054,"Keranaq nike ures, jauq Kanak nike dait mamiq bini-Ne tulak ojok Israel.""",12,general,alkitab_sasak_Mat_2_20
SASAK_SENT_000055,"Beterus Yusup ures, dait jauqne Kanak nike kance mamiq bini-Ne tulak ojok wilayah Israel.",14,general,alkitab_sasak_Mat_2_21
SASAK_SENT_000056,"Laguq sesampun tedengah siq Yusup bahwe Arkelaus, bije Herodes sampun jari raje leq negeri Yudea gentiq bapaqne, Yusup ndeq bani lumbar ojok derike.",23,general,alkitab_sasak_Mat_2_22
SASAK_SENT_000057,"Sesampun teican petunjuk langan impi, ie lumbar ojok daerah Galilea.",10,general,alkitab_sasak_Mat_2_22
SASAK_SENT_000058,Leq derike ie ndot leq sopoq kote aranne Nazaret.,9,general,alkitab_sasak_Mat_2_23
SASAK_SENT_000059,"Siq care nike telaksane napi saq tesampeang siq nabi-nabi mengenai Kanak nike: ""Ie gen tesebut Dengan Nazaret.""",17,general,alkitab_sasak_Mat_2_23
SASAK_SENT_000060,Leq waktu nike rauh Yahya Pembaptis leq padang gurun leq Yudea dait mulai behotbah.,14,general,alkitab_sasak_Mat_3_1
SASAK_SENT_000061,"Pade tobat leman dose-dosende, sengaq Kerajaan Sorge sampun rapet!""",9,general,alkitab_sasak_Mat_3_2
SASAK_SENT_000062,"Yahya niki saq temaksut siq Nabi Yesaya sewaktu ie nyampeang niki, ""Araq dengan saq bekuih-kuih leq padang gurun, 'Pade siepang langan umaq Tuhan; dait rateang langan umaq Ie.'""",28,general,alkitab_sasak_Mat_3_3
SASAK_SENT_000063,Yahya ngengadu jubah saq tepiaq leman bulu onte dait sabukne tepiaq leman lendong.,13,general,alkitab_sasak_Mat_3_4
SASAK_SENT_000064,Keloranne balang dait madulani gawah.,5,general,alkitab_sasak_Mat_3_4
SASAK_SENT_000065,"Luweq dengan dateng ojok Yahya, araq dengan-dengan saq dateng leman Yerusalem, leman selapuq daerah Yudea, dait leman selapuq daerah sekiter Kokoq Yordan.",22,general,alkitab_sasak_Mat_3_5
SASAK_SENT_000066,"Ie pade ngaku dose-dosene, beterus ie pade tebaptis siq Yahya leq Kokoq Yordan.",13,general,alkitab_sasak_Mat_3_6
SASAK_SENT_000067,Luweq endah dengan Saduki dait Parisi dateng mele tebaptis siq Yahya.,11,general,alkitab_sasak_Mat_3_7
SASAK_SENT_000068,"Laguq sewaktu ie serioq dengan-dengan nike dateng, Yahya bebase leq ie pade, ""Hai, side dengan jahat!",16,general,alkitab_sasak_Mat_3_7
SASAK_SENT_000069,Sai saq badaq bahwe side bau selamet leman hukuman Allah saq gen dateng?,13,general,alkitab_sasak_Mat_3_7
SASAK_SENT_000070,Nyatayang siq perbuatande bahwe side sampun betobat leman dose-dosende.,9,general,alkitab_sasak_Mat_3_8
SASAK_SENT_000071,"Ndaq paran, bahwe side bau bebase dalem angende: Ibrahim nike bapaq tiang pade!",13,general,alkitab_sasak_Mat_3_9
SASAK_SENT_000072,Tiang badaq side: Leman batu-batu niki endah Allah sanggup miaqang Ibrahim keturunan!,12,general,alkitab_sasak_Mat_3_9
SASAK_SENT_000073,Kandik sampun tesadangang jari ngerebaq lolo jangke akah-akahne.,8,general,alkitab_sasak_Mat_3_10
SASAK_SENT_000074,"Sebilang lolo saq ndeq ngasilang buaq saq solah, gen terebaq dait teteteh ojok dalem api.",15,general,alkitab_sasak_Mat_3_10
SASAK_SENT_000075,Tiang baptis side kadu aiq jari tande bahwe side sampun betobat leman dose-dosende.,13,general,alkitab_sasak_Mat_3_11
SASAK_SENT_000076,"Laguq Ie saq gen rauh pungkuran leman tiang, gen baptis side kadu Roh Suci dait api.",16,general,alkitab_sasak_Mat_3_11
SASAK_SENT_000077,Kuase-Ne beleqan leman tiang.,4,general,alkitab_sasak_Mat_3_11
SASAK_SENT_000078,Jari jauq sepatu-Ne doang tiang ndeq patut.,7,general,alkitab_sasak_Mat_3_11
SASAK_SENT_000079,"Leq gading-Ne araq kleong jari nampiq selapuq gandum-Ne jangke bersi; selapuq gandumne gen Ie kumpulang leq dalem lumbung, laguq selapuq gambasne gen Ie tunuq leq dalem api saq ndeq iniq pedaq.""",31,general,alkitab_sasak_Mat_3_12
SASAK_SENT_000080,Beterus Deside Isa rauh leman Galilea ojok Kokoq Yordan gen bedait kance Yahya jari tebaptis siq ie.,17,general,alkitab_sasak_Mat_3_13
SASAK_SENT_000081,Laguq Yahya berusahe nolaq napi saq Deside Isa kayunang.,9,general,alkitab_sasak_Mat_3_14
SASAK_SENT_000082,"Yahya matur leq Deside Isa, ""Tiang niki saq sepatutne tebaptis siq Pelungguh, mangkin malahan Pelungguh saq rauh ojok tiang.""",19,general,alkitab_sasak_Mat_3_14
SASAK_SENT_000083,"Laguq jawab Deside Isa, ""Alurang hal nike telaksane, sengaq siq care nike ite ngelaksaneang selapuq saq tekayunang siq Allah."" Beterus Yahya baptis Deside Isa.",24,general,alkitab_sasak_Mat_3_15
SASAK_SENT_000084,"Sesampun tebaptis, Deside Isa sugul leman aiq kokoq nike.",9,general,alkitab_sasak_Mat_3_16
SASAK_SENT_000085,"Selung-selung langit kebukaq, beterus Deside Isa cingakin Roh Allah turun ojok atas-Ne maraq ruen kedit dare.",16,general,alkitab_sasak_Mat_3_16
SASAK_SENT_000086,"Beterus kedengahan suare leman sorge, ""Niki Bije Tiang saq Tiang kasihin, Ie nyenengang Tiang.""",14,general,alkitab_sasak_Mat_3_17
SASAK_SENT_000087,Sesampun nike Deside Isa tebimbing siq Roh Allah ojok padang gurun jari tecobe siq Belis.,15,general,alkitab_sasak_Mat_4_1
SASAK_SENT_000088,Petang dase jelo petang dase kelem Deside Isa puase beterus Ie beridap seduk.,13,general,alkitab_sasak_Mat_4_2
SASAK_SENT_000089,"Beterus Belis dateng dait matur, ""Lamun Pelungguh Bije saq asalne leman Allah, cobaq prentahang batu-batu niki jari ruti.""",18,general,alkitab_sasak_Mat_4_3
SASAK_SENT_000090,"Jawab Deside Isa, ""Araq tetulis leq dalem Kitab Suci bahwe: Manusie ndeqne idup leman ruti doang, laguq endah leman sebilang manik saq temanikang siq Allah.""",25,general,alkitab_sasak_Mat_4_4
SASAK_SENT_000091,"Sesampun nike, Deside Isa tebimbing siq Belis ojok kote suci Yerusalem, terus toloqne Deside Isa leq atas buwung Gedeng Allah.",20,general,alkitab_sasak_Mat_4_5
SASAK_SENT_000092,"Beterus Belis matur leq Deside Isa, ""Lamun Pelungguh Bije saq asalne leman Allah, cobaq Pelungguh nimproh ojok bawaq.",18,general,alkitab_sasak_Mat_4_6
SASAK_SENT_000093,"Sengaq araq tetulis leq dalem Kitab Suci bahwe, 'Allah gen mrentahang malaekat-malaekat-Ne ngelindungin Pelungguh, ie pade gen sangklap Pelungguh siq imene, adeq cokor Pelungguh nenten kedantuk leq batu.'""",28,general,alkitab_sasak_Mat_4_6
SASAK_SENT_000094,"Jawab Deside Isa, ""Laguq leq dalem Kitab Suci tetulis endah, 'Ndaq side cobe Tuhan Allah side!'""",16,general,alkitab_sasak_Mat_4_7
SASAK_SENT_000095,"Beterus jauqne malik Deside Isa ojok atas sopoq gunung saq atas gati, dait petitoqangne tipaq Deside Isa selapuq kerajaan leq dunie dait selapuq kesugihanne.",24,general,alkitab_sasak_Mat_4_8
SASAK_SENT_000096,"Belis nike matur leq Deside Isa, ""Selapuqne niki gen tiang serahang tipaq Pelungguh lamun Pelungguh sujut nyembah tiang.""",18,general,alkitab_sasak_Mat_4_9
SASAK_SENT_000097,"Jawab Deside Isa, ""Nyedi hai Belis!",6,general,alkitab_sasak_Mat_4_10
SASAK_SENT_000098,"Leq Kitab Suci araq tetulis: Pade sembah Tuhan Allahde dait tipaq Ie doang side beribadah!""",15,general,alkitab_sasak_Mat_4_10
SASAK_SENT_000099,"Ahirne Belis nike bilin Deside Isa, beterus malaekat-malaekat rauh ngelayanin Ie.",11,general,alkitab_sasak_Mat_4_11
SASAK_SENT_000100,"Sewaktu Deside Isa mirengang kabar bahwe Yahya tetamaq ojok bui, Ie nyingkir ojok Galilea.",14,general,alkitab_sasak_Mat_4_12
SASAK_SENT_000101,"Deside Isa lumbar leman Nazaret beterus meneng leq Kapernaum, leq sedin Danao Galilea leq daerah Zebulon dait Naptali.",18,general,alkitab_sasak_Mat_4_13
SASAK_SENT_000102,"Sengaq Deside Isa ngelaksaneang hal nike, make telaksane napi saq tesampeang siq Nabi Yesaya:",14,general,alkitab_sasak_Mat_4_14
SASAK_SENT_000103,"Tanaq Zebulon dait tanaq Naptali, langan ojok segare, daerah itoqan Kokoq Yordan, Galilea, wilayahne bangse-bangse lain!",16,general,alkitab_sasak_Mat_4_15
SASAK_SENT_000104,"Bangse saq endot leq dalem peteng, sampun serioq Terang saq menah tandur!",12,general,alkitab_sasak_Mat_4_16
SASAK_SENT_000105,"Tipaq saq endot leq negeri saq tekudung siq peteng maut sampun tiwoq Terang!""",13,general,alkitab_sasak_Mat_4_16
